sentence;cleanliness;food/drinks;location;room amenities;staff;other
Over all nice place and friendly desk.;0;0;0;0;1;0
Nice clean indoor pool.;1;0;0;0;0;0
Room was nice only bad thing beds were super hard like a rock but would stay again;0;0;0;1;0;0
Would definitely come back and stay here.;0;0;0;0;0;0
Taxi services were very limited while concerts going on at Bank Pavillion;0;0;0;0;1;0
Terrible place.....wouldn't recommend it to my worst enemy.;0;0;0;0;0;0
Expect the room that was in an OK condition everything else outside of it  because of the reconstruction of the building was nothing compared to a normal facility !;0;0;0;1;0;0
Hotel room was DIRTY.;1;0;0;1;0;0
Bed was very uncomfortable.;0;0;0;0;0;0
No AC in the lobby.;0;0;0;0;0;0
Kayak was stolen out of the back of my truck in the parking lot and the front desk was less than helpful or empathetic.;0;0;0;0;0;0
Refused to call police and file a report.;0;0;0;0;0;0
Will NEVER stay there again and don't recommend anyone ever stay there.;0;0;0;0;0;0
It is under EXTENSIVE construction.;0;0;0;0;0;0
Hopefully that will fix the situation.;0;0;0;0;0;0
If you don't want to stay in a building currently undergoing extreme renovations make sure the construction is complete before making your reservation.;0;0;0;0;0;0
We arrived at the hotel and thought it was closed.;0;0;0;0;0;0
It is totally under construction windows out scaffolding etc..;0;0;0;1;0;0
This was not mentioned when the reservation was made however it was quiet and clean.;1;0;0;0;0;0
Not the most comfortable bed.;0;0;0;0;0;0
The hotel was under construction no pardon our appearance signs or anything.;0;0;0;0;0;0
Windows were out of the building.. it was terrible.;0;0;0;1;0;0
I would like to discuss some sort of refund;0;0;0;0;0;0
The room was OK.;0;0;0;1;0;0
The Hotel is in a radical renovation process with construction work even in the loby.;0;0;0;0;0;0
So many things must be excused but the breakfast was lousy.;0;1;0;0;0;0
There were toasters but no bread to be toasted no egs in any form raisin bran partly powdered.;0;1;1;1;1;0
Very strict hotel... beds were not comfortable couldn’t even look out the window because the outside of it was covered in blue paint.;0;0;0;1;0;0
I don’t feel like this hotel was worth 140 a night not by a long shot.;0;0;0;0;0;0
Dated run-down.;0;0;0;0;0;0
Rooms in poor condition sparsely furnished with old worn furniture.;0;0;0;1;0;0
Some healthy options at breakfast but nothing warm - much less hot.;0;1;0;0;0;0
At one time the Landmark was a good hotel BUT it has fallen way behind.;0;0;0;0;0;0
Needs updating and better maintenance.;0;0;0;0;0;0
Ice machines do not work and are located on every other floor.;0;1;1;1;1;0
Housekeeping replaced the towels but not the soaps.;0;0;0;0;0;0
I know big item.;0;0;0;0;0;0
It was just ok nothing to rave about.;0;0;0;0;0;0
Oh I haven't seen a CATHODE RAY TUBE TV IN QUITE A WHILE.;0;0;0;1;0;0
Good location staff was nice.;0;0;1;0;1;0
That's it.;0;0;0;0;0;0
Room smelled like smoke though the hotel is currently no smoking it had to have been at one time.;1;0;0;1;0;0
It's just a mess on many floors due to construction.;0;0;0;0;0;0
Bed was ok not the worst.;0;0;0;0;0;0
Would not stay here again.;0;0;0;0;0;0
It was run down no fridge in room no vending machines!;0;0;0;1;0;0
Breakfast was way too early... ;0;1;0;0;0;0
Undergoing much needed renovations.;0;0;0;0;0;0
Lots of 'rules' that didnt exist the last time we stayed here.;0;0;0;0;0;0
Have to eat food in lobby.;0;1;0;0;0;0
No visitors.;0;0;0;0;0;0
Damage deposit hold on credit card.;0;0;0;1;0;0
Not what I was expecting - the bed was really uncomfortable and the elevators were several months past inspection.;0;0;0;0;0;1
They were able to accommodate us with an early check in though;0;0;0;0;0;1
Options for other hotels were limited so to avoid having to drive home after a concert at Meadowbrook I booked one night/2 double beds.;0;0;0;0;0;1
Both the beds and the pillows they provided were extremely uncomfortable.;0;0;0;0;0;1
No updates have been made to this location for at least 10-15 years.....very outdated peeling wallpaper in the bathroom.;0;0;1;1;0;0
If you stay here be sure to bring your own pillows and towels.;0;0;0;0;0;0
This hotel is decent not sparkling clean but ok!;1;0;0;0;0;0
Have stayed in worse.;0;0;0;0;0;0
Hotel is very dingy needs upgrading but the room was not bad better than I expected after reading some other reviews.;0;0;0;1;0;0
For one night it’s fine.;0;0;0;0;0;0
It is close to the bank of NH concerts about 3.5 miles.;0;0;0;0;0;0
Room wasn't ready for early check in.;0;0;0;1;0;0
Then someone entered room after I had checked in because they didn't notify staff the room had been cleaned.;1;0;0;1;1;0
Very unsettling.;0;0;0;0;0;0
Walls very thin could hear conversations in next room word for word.;0;0;0;1;0;0
No coffee in room.;0;1;0;1;0;0
No frig microwave or iron.;0;0;0;1;0;0
Room OK.;0;0;0;1;0;0
Whole hotel needs updating;0;0;0;0;0;0
Was in town for the Nascar Race and found it to be a short ride to the stadium.;0;0;0;0;0;0
Everything was great with the room and hotel.;0;0;0;1;0;0
Had a great stay and will revisit.;0;0;0;0;0;0
Great hotel.;0;0;0;0;0;0
Will return time and time again.;0;0;0;0;0;0
Beds were uncomfortable...;0;0;0;0;0;1
But other than that room view was amazing;0;0;0;1;0;0
Nice hotel noisy neighbors  They kept us awake after 3am;0;0;0;0;0;1
Bad thing is no microwave.;0;0;0;1;0;0
Even the 2 stars motel has one.;0;0;0;0;0;0
This was a lovely location with a nice sandy beach front lush green grounds and near to great eateries.;0;0;1;0;0;0
Good breakfast room all included is a plus.;0;1;0;1;0;0
Sadly the maintenance needs a face lift.;0;0;0;0;0;0
Carpeting bathroom counters and room decor need upgrade.;0;0;0;1;0;0
The pool was lovely and well maintained.;0;0;0;0;0;0
Nice to find indoor fascilities.;0;0;0;0;0;0
I think it will be lovely here even this winter.;0;0;0;0;0;0
The area we stayed in was good - The Inn.;0;0;1;0;0;0
The main building had a creepy floor that reminded us of the Shining with dated hallways and dim lighting.;0;0;0;0;0;0
We were trying to find the game room but it was being renovated so it was closed.;0;0;0;1;0;0
The pool  sauna and hot tub were great.;0;0;0;0;0;0
Breakfast was good- big selection.;0;1;0;0;0;0
Room was big but the beds were uncomfortable wasn’t a pullout couch so had to pay for a cot which no one informed me prior to coming and the room was booked for 5 people.;0;0;0;1;0;0
The place was very nice but a little bit pricey!;0;0;0;0;0;1
Off season not a lot to do!;0;0;0;0;0;0
Front desk staff was fantastic and very helpful!;0;0;0;0;1;0
Pool was great!;0;0;0;0;0;0
Could use a full time restaurant and a tea and coffee bar all day!;0;1;0;0;0;0
Wasn’t convenient my room was a cross of street from the pool and the gym for the price I was expecting more.;0;0;0;1;0;0
The beach is lovely here the pool and hot tub are great.;0;0;0;0;0;1
The continental breakfast was nice.;0;1;0;0;0;0
Aside from being evacuated from the building at 6AM due to a faulty smoke detector or some other sort of false alarm it was a nice stay.;0;1;1;1;1;0
The room was very nice and roomy.;0;0;0;1;0;0
The beds were super comfortable.;0;0;0;0;0;0
The pool lobby/bar and hot tub were awesome.;0;1;0;0;0;0
I would definitely stay here again.;0;0;0;0;0;0
Great location.;0;0;1;0;0;0
The first room was not ready so we were given a up grade closer to the water.;0;0;0;1;0;0
The King size bed was very squeaky and lumpy.;0;0;0;0;0;0
Close to beach...nice place..bar on water...beautiful view...bed a little hard..;0;1;0;0;0;0
beautiful beach and out door bar.;0;1;0;0;0;0
very relaxing trip  will go again;0;0;0;0;0;0
Love the beach access and outside bar and restaurant.;0;1;0;0;0;0
Great pool with hot tub and sauna.;0;0;0;0;0;1
Very generous and selective complimentary breakfast.;0;1;0;0;0;0
Room was nice and clean.;1;0;0;1;0;0
Beds comfortable.;0;0;0;0;0;0
Tv/cable lots of channels to choose from.;0;0;0;1;0;0
Close to Gunstock Mountain which was the reason for our stay.;0;0;0;0;0;0
Easy access plenty of parking nice pool nice Beach Bar had a great time.;0;1;0;0;0;0
Have stayed here before and will again.;0;0;0;0;0;0
Hotel was ok. Carpets stained runned down looking.;1;0;0;1;0;0
Stained sheets staff didnt care;1;0;0;0;1;0
Nice location!!!;0;0;1;0;0;0
Easy and Convenient!!;0;0;0;0;0;0
Comfortable!;0;0;0;0;0;0
older cottages but they are clean and reasonably priced.;1;0;0;0;0;0
the owner is very nice and accommodating;0;0;0;0;0;0
It was exactly what we thought it would be like...a night of camping just not in a tent.;0;0;0;0;0;0
Very enjoyable!;0;0;0;0;0;0
very happy with communication and special need to park boat trailer with access to plug in battery charger.;0;0;1;1;1;0
We had unexpected delay in showing upa and they were very helpful getting us set up and checked in.;0;0;0;0;0;0
Cottage was clean.;1;0;0;0;0;0
No heat and it was a cold weekend.;0;0;0;0;0;0
Coffee pot had old coffee and mold in the coffee basket.;1;1;0;0;0;0
No one came in after first night to see message about coffee pot so we were unable to have coffee at all.;0;1;0;0;0;0
Very noisy location.;0;0;1;0;0;0
Would never go in the summer during busy season.;0;0;0;0;0;0
Wifi was unavailable!!!!!!;0;0;0;0;0;0
Lousy connection;0;0;0;0;0;0
I enjoyed the service of the staff as well as the room itself.;0;0;0;1;1;0
Excellent!;0;0;0;0;0;0
Could'n't be happier.;0;0;0;0;0;0
great stay!;0;0;0;0;0;0
Perfect for a one night stay.;0;0;0;0;0;0
We were in for the Highland Games  Festival in September.;0;0;0;0;0;0
I am familiar with Laconia and always wanted to stay close to the Weird Beach  Boardwalk.;0;0;0;0;0;0
Very cute 50’s feel cottage beds were a bit uncomfortable but for one night it was ok.;0;0;0;0;0;1
Talked to person thru microphone told us key under mat.;0;0;0;0;0;0
Room smelled musty;1;0;0;1;0;0
The room is much bigger and nicer than I expected it to be.;0;0;0;1;0;0
Check in was a breeze.;0;0;0;0;0;0
My only complaint is that there is what looks like dog fur on both pillow cases and that makes me wonder if they were even changed/cleaned between guests.;1;0;0;0;0;0
Otherwise the room appears very clean.;1;0;0;1;0;0
There were bugs in our room and staff were rude and not helpful;0;0;0;1;1;0
The floor of the cottage was not level.;0;0;0;0;0;0
Futon in the living room was way too low to sit and get up.;0;0;0;1;0;0
Staff was rude not helpful.;0;0;0;0;1;0
we found a cockroach in our room and I brought it to the manager Heather and she confirmed it was a roach and said we must have brought it to the hotel or it came from outside.;0;0;0;1;1;0
Told me we were a pain in the ass.;0;0;0;0;0;0
Would not recommend.;0;0;0;0;0;0
Saw a review that there was roaches should had listened.;0;0;0;0;0;0
The location is excellent which is what you're really paying for.;0;0;1;0;0;0
The staff were extremely friendly and check in and out was a breeze.;0;0;0;0;1;0
Our cottage smelled terrible - like old cigarette smoke and a mix of mold/mildew.;1;0;0;0;0;0
The bathroom is small and the place is run down.;0;0;0;1;0;0
I thought the bed was comfortable my husband disagreed.;0;0;0;0;0;0
It wasn't the nicest place but I would stay again.;0;0;0;0;0;0
I loved the screened in porch.;0;0;0;0;0;0
Beds were very lumpy and hard room is aged and needs updating.;0;0;0;1;0;0
Way overpriced for the conditions;0;0;0;0;0;0
My excellent adventure took me out onto the lake for hours leaving little time for anything else.;0;0;0;0;0;0
This property was exactly what we were looking for.;0;0;0;0;0;0
Located close to everything open that time of year the price was competitive.;0;0;0;0;0;1
Monica the manager is amazing.;0;0;0;0;1;0
we required help unloading and loading all of our suitcases etc.;0;0;0;0;0;0
the staff was a wonderful smilling help assisting us.;0;0;0;0;1;0
They could not dom enough to help us.;0;0;0;0;0;0
Very friendly staff at the reception desk and the breakfast was first rate.;0;1;0;0;1;0
Would stay there again.;0;0;0;0;0;0
Early arrival was cheerfully accomodated.;0;0;0;0;0;0
Staff very pleasant and professional.;0;0;0;0;1;0
No restaurants near the hotel.;0;0;1;0;0;0
Reserved room with a shower was a bathtub room.;0;0;0;1;0;0
Hotel staff were incredibly nice.;0;0;0;0;1;0
Everything was immaculate.;0;0;0;0;0;0
Would stay here again.;0;0;0;0;0;0
It was the worse                                 .;0;0;0;0;0;0
Outstanding location good places to eat close to family and friends.;0;0;1;0;0;0
Great experience.;0;0;0;0;0;0
Beds were delightfully comfortable!;0;0;0;0;0;1
We arrived late in the evening but check in was very quick.;0;0;0;0;0;1
The young lady at the counter was courteous informative and speedy which was great because we were tired.;0;0;0;0;1;0
The room was very comfortable and clean.;1;0;0;1;0;0
The complimentary breakfast was quite good and check out was a breeze.;0;1;0;0;0;0
Multiple breakfast options were nice.;0;1;0;0;0;0
Room was clean and easily cooled down.;1;0;0;1;0;0
Staff were friendly and helpful.;0;0;0;0;1;0
Appreciated that smoking was allowed nearby - outside of building.;0;0;1;0;0;0
Overall a pretty good place.;0;0;0;0;0;0
Staff were really friendly and helpful.;0;0;0;0;1;0
I had to cancel and kind of medical and the hotel would give me back my money until they realize I’ve booked thru to you and they could not I was never informed of that;0;0;0;0;0;0
The hotel worked for us but it had a 'worn' feel.;0;0;0;0;0;0
There were 'pardon our dust' signs all over but saw no evidence of any renewals.;0;0;0;0;0;0
Our room had water damage on the ceiling.;0;0;0;1;0;0
I was not able to get the wheelchair under the ADA room sink in the bathroom or see in the mirror.;0;0;0;1;0;0
The sheets were never changed I know because there was lipstick or some kind of makeup on the sheets the whole time we were there;0;0;0;0;0;0
We selected this hotel because of it's proximity to The Villages and the low cost.;0;0;0;0;0;1
It's a nice basic hotel and was typical of any Hampton Inn you would see almost anywhere.;0;0;0;0;0;0
Over the course of eight days we stayed at five different hotels.;0;0;0;0;0;0
The Hampton Inn provided the best comfort for the best price.;0;0;0;0;0;1
The didn't have extra fees for the roll away bed the breakfast was delicious and the room was very modern and clean.;1;1;0;1;0;0
Everything was nice except no one serviced the room... no trash removal no clean towels nothing.;1;0;0;1;1;0
From arrival to departure we only saw smiles on the faces of two members of staff.;0;0;0;0;1;0
That summed up our stay here.;0;0;0;0;0;0
This hotel is a series of boxes with beds put together to make money.;0;0;0;0;0;0
No one on the staff seemed to have a desire to offer hospitality.;0;0;0;0;1;0
Would avoid this hotel and this brand in the future.;0;0;0;0;0;0
It was the most relaxing stay..Quiet and comfortable.;0;0;0;0;0;1
Staff very friendly.;0;0;0;0;1;0
Nice village surrounding with several stores and restaurants to choose from....I'd differently come back again...;0;0;0;0;0;0
Hampton Inns provide great value for the money spent.;0;0;0;0;0;1
This particular Hampton Inn was no exception.;0;0;0;0;0;0
This was one of the cleanest i've ever stayed in.;1;0;0;0;0;0
The staff was also exceptionally friendly and welcoming.;0;0;0;0;1;0
I would definitely stay here again when visiting family.;0;0;0;0;0;0
It was a very nice hotel with attentive staff and good access to the area.;0;0;1;0;1;0
Arrived early and our room was ready!;0;0;0;1;0;0
Very convient to The Villages were we were competing in an RC Laser sailboat regatta.;0;0;0;0;0;0
Very nice free breakfast with tasty food.;0;1;0;0;0;0
Nice boutique hotel for the price!;0;0;0;0;0;1
The entire staff was very friendly and efficient!;0;0;0;0;1;0
Good value here!! !;0;0;0;0;0;0
The bath tubs were the biggest I have ever seen!;0;1;1;1;1;0
The staff was very friendly and accommodating and even delivered breakfast to your door as your wake up call.;0;1;0;0;1;0
The location is excellent with plenty of interesting venues with in walking distance.;0;0;1;0;0;0
Terrific Hotel wish we could have stayed longer.;0;0;0;0;0;0
Very friendly and accommodating.;0;0;0;0;1;0
A great hotel with the nicest staff.;0;0;0;0;1;0
We will definitely stay here again!;0;0;0;0;0;0
Nice place within walking distance from restaurants and cute bars.;0;1;1;0;0;0
Staff were great and very helpful to direct and give advice.;0;0;0;0;1;0
The cake and warm cookies in the common area were truly a bonus.;0;0;1;0;0;0
Absolutely perfect Highly recommend;0;0;0;0;0;0
Great boutique hotel in the heart of Lafayette.;0;0;0;0;0;0
Service is top notch.;0;0;0;0;1;0
Fresh cookies and bananas available at all times.;0;0;0;0;0;0
Room is spacious.;0;0;0;1;0;0
Bath tub is very large.;0;0;0;0;0;0
Only negatives: a/c was quite noisy in our room and pillows were small and uncomfortable.;0;0;0;1;0;0
Overall a very nice experience for myself and my wife.;0;0;0;0;0;0
The hotel was great!;0;0;0;0;0;0
exceeded my expectations.;0;0;0;0;0;0
The free breakfast didn't have any choices that appealed to me because I don't like croissants.;0;1;0;0;0;0
But it was FREE breakfast so no complaints from me.;0;1;0;0;0;0
I didn't ask if there were alternatives -- they might have been able to accommodate me if I asked.;0;0;0;0;0;0
The hotel was super clean smelled good and the staff was very welcoming and friendly!;1;0;0;0;1;0
Would definitely recommend staying here;0;0;0;0;0;0
The property is immaculate the staff are wonderful it’s in a great location.;0;0;1;0;1;0
This boutique hotel has everything you could want and the staff can’t be more helpful.;0;0;0;0;1;0
A for everything.;0;0;0;0;0;0
Even to the cake and coffee left out for self help during the day.;0;1;0;0;0;0
This hotel is a gem in downtown Lafayette.;0;0;0;0;0;0
Impeccably clean large rooms everything nice new and comfortable.;1;0;0;1;0;0
Great service and amenities.;0;0;0;0;1;0
Great location.;0;0;1;0;0;0
Will definitely be coming back.;0;0;0;0;0;0
Always a nice place to stay in a great area not the same old cookie cutter franchise hotel.;0;0;1;0;0;0
This property  horrid.;0;0;0;0;0;0
Stayed 7 days  6 of them a beer bottle full of urine sat in the breezeway.;0;1;0;0;0;0
Staff refused to have it cleaned up despite many calls to front desk.;1;0;0;0;1;0
Pictures are quite deceptive.;0;0;0;0;0;0
They ended up charging me 54.;0;0;0;0;0;1
Ucks when they said 45 and i. Didnt care ckr that;0;0;0;0;0;0
It was horrible and wanted a refund but couldn't get one the rooms were a mess had junk and trash and smelled terrible I'll never ever stay there again they let that place to down hill;1;0;0;1;0;0
Well I reserved a room for last Saturday and I checked out Monday the TV only have one channel there was no microwave the refrigerator was barely cold and there was a bar sticking out from under the bed and the carpet look like they just patched it together I wouldn't recommend anyone staying at this hotel;0;0;0;1;0;0
Very clean nice thoughtful and generous staff anytime maintenance and friendly owners;1;0;0;0;1;0
Nice;0;0;0;0;0;0
Great;0;0;0;0;0;0
Clean friendly nice staff on-time check in on time check out safe clean quiet environment;1;0;0;0;1;0
For the price it was well worth it.;0;0;0;0;0;1
Outdated but clean and the location was perfect for our staff.;1;0;1;0;1;0
Roaches in bathroom when I turned the light on.;0;0;0;1;0;0
Pulled back sheets in bed and roach ran off of pillow under mattress.;0;0;0;0;0;0
Lifted corner of mattress and found nest of at least a dozen roaches under corner of mattress.;0;0;0;0;0;0
They initially refused today give me a refund until I had the clerk call them owner am tell them I have a video of them roaches that's I will send today there state dept.;0;0;0;0;0;0
of health.;0;0;0;0;0;0
Good cant complain for the price but would recommend to remodel the rooms;0;0;0;1;0;0
It was a cool place to relax but for business I'll probably stick to hotels.;0;0;0;0;0;0
The clawfoot tub was beautiful and probably relaxing but rough for someone accustomed to a quick morning shower.;0;0;0;1;0;0
I have stayed at Bogobiri before and so was disappointed at how run down the place has become.;0;0;0;0;0;0
A lick of paint and re-organisation of the furniture new bedding etc would make such a difference.;0;0;0;0;0;1
There were prolonged power outages during my stay and breakfast was sparse no butter or jam for my toast.;0;1;0;0;0;0
It is a shame as this is a unique place which can have a lovely atmosphere.;0;0;0;0;0;0
Beautifully decorated rooms...great food courteous staff.;0;1;0;1;1;0
Within walking distance to local eateries as well.;0;0;1;0;0;0
Bogobiri is a comfortable guesthouse with artistic decoration in the room.;0;0;0;1;0;0
If you are looking for a private place like home this could be your option.;0;0;0;0;0;0
But definitely not for people who are looking for a nice hotel room and service experience.;0;0;0;1;1;0
The staff are very helpful and provide prompt service.;0;0;0;0;1;0
What I did not like is the full charge for having breakfast in the room when my booking included complimentary breakfast.;0;1;0;1;0;0
Need more food for expats mainly Nigerian food.;0;1;0;0;0;0
Service quality must improve;0;0;0;0;1;0
Awesome location awesome staff rooms r Roomy would return over and over nxt time I will try the executive room;0;0;1;1;1;0
Breakfast was a let down limited choice and some of the food was dry.;0;1;0;0;0;0
The rooms are ok but bathrooms could do with a renovation.;0;0;0;1;0;0
My room Was overlooking a rubbish dump which was not a pleasant sight.;0;0;0;1;0;0
Got a room which didn’t have a working AC or bathtub.;0;0;0;1;0;0
Had to move rooms.;0;0;0;1;0;0
Housekeeping staff were slow to requests.;0;0;0;0;1;0
Floor smelled.;1;0;0;0;0;0
Great location with happy staffs;0;0;1;0;1;0
Best experience so far in a lagos hotel.;0;0;0;0;0;0
Amazing breakfast as well.;0;1;0;0;0;0
My only problem is their bath tub is too high and was very uncomfortable getting into it as a new mom.;0;0;0;0;0;0
