Evaluation results:
	Category: cleanliness
		Precision: 0.8836066449441804
		Recall: 0.8511907672746833
		F1-score: 0.8603578488519439
		Wrong classification:
			Actual: 0
			Prediction: 1
			Sentence: Available free bicycles were a bit sorry tho we ended up taking hire bikes from a nearby shop
			Actual: 0
			Prediction: 1
			Sentence: Motel has plenty of room in the unit we were in a block apart from the main area and parking was a little crampedl
			Actual: 1
			Prediction: 0
			Sentence: Southern hospitality beautiful historic hotel in a wonderful location on Flagler Ave
			Actual: 0
			Prediction: 1
			Sentence: Carpeting and drapes
			Actual: 0
			Prediction: 1
			Sentence: But in an area where nightly rates exceed 125 you get more or less what you pay for
			Actual: 0
			Prediction: 1
			Sentence: Sn overnight event in Newcastle resulted in us staying at the Clarendon
			Actual: 0
			Prediction: 1
			Sentence: While the room could have been cleaner the location and price were great
			Actual: 0
			Prediction: 1
			Sentence: Great location and well presented except for the following issues 1
			Actual: 0
			Prediction: 1
			Sentence: Parking could possibly be a issue and minimal area to hang your towel
			Actual: 0
			Prediction: 1
			Sentence: Too spread out walking from room to hotel activities really is not well thought out
			Actual: 0
			Prediction: 1
			Sentence: Coffee can be found 1 2 mile from your room in the morning small coffee with tip and tax will cost you 5 00 Not built as a hotel more of a wedding or Corporation meeting location
			Actual: 0
			Prediction: 1
			Sentence: If you have a car that makes things a little easier getting them to pick you up and take you to the resort takes some time walking or your own car is the better solution
			Actual: 0
			Prediction: 1
			Sentence: Beautiful resort with very poor beach access the beach is 3 4 miles away and must be reached by shuttle
			Actual: 0
			Prediction: 1
			Sentence: I called front desk housekeeper came with cleaning cloth in her pocket to wipe down area
			Actual: 0
			Prediction: 1
			Sentence: Another day the area wasn t cleaned nor was the sink cleaned
			Actual: 0
			Prediction: 1
			Sentence: It s right by the Newport Pier which is a very crowded area and there s an extremely busy parking lot right in front of the hotel
			Actual: 0
			Prediction: 1
			Sentence: We chose this place for the location
			Actual: 0
			Prediction: 1
			Sentence: The lounge area was a good place to relax with big open air ocean views
			Actual: 0
			Prediction: 1
			Sentence: The bay provides a wide range of dishes next to your cabanas and the beach
			Actual: 0
			Prediction: 1
			Sentence: Good hotel in a good location near the beach and night market
			Actual: 0
			Prediction: 1
			Sentence: The hotel is in a great location and literally 5 mins from the beach
			Actual: 0
			Prediction: 1
			Sentence: I liked the hotel and its location close to the beach but it was noisy in the morning because of several constructions in the area
			Actual: 1
			Prediction: 0
			Sentence: Grounds requires more upkeep but love the area they are attempting to create with the picnic tables gazebo etc
			Actual: 0
			Prediction: 1
			Sentence: Chose not to stay here due To the fact that when we got there the area is very seedy
			Actual: 0
			Prediction: 1
			Sentence: On positive side everything in room is operational and location is convenient close to Marineland and the falls
			Actual: 0
			Prediction: 1
			Sentence: Less than five minutes from the falls in the car
			Actual: 0
			Prediction: 1
			Sentence: This is what I found under my matress
			Actual: 0
			Prediction: 1
		Number of wrong classification: 93 out of 376
	Category: room amenities
		Precision: 0.795397776945173
		Recall: 0.7955977462793822
		F1-score: 0.7951479674796749
		Wrong classification:
			Sentence: We had booked 3 rooms with children and were sitting relaxing outside when the kitchen staff started cleaning up
			Actual: 0
			Prediction: 1
			Sentence: Our room was upgraded to a nicer one due to painters working in the first
			Actual: 1
			Prediction: 0
			Sentence: The room had a great view of the bay
			Actual: 0
			Prediction: 1
			Sentence: Friendly staff good food nice bed no hot water in shower
			Actual: 0
			Prediction: 1
			Sentence: Carpets and bedding are worn thread bare and stained
			Actual: 0
			Prediction: 1
			Sentence: This hotel also had a huge bathroom my bathroom experience was awesome
			Actual: 1
			Prediction: 0
			Sentence: Rooms are dated but clean
			Actual: 0
			Prediction: 1
			Sentence: Best of all there is modern private bathroom as well as traditional hot bath
			Actual: 1
			Prediction: 0
			Sentence: The property might seem dated but to us it was part of the charm with an immense Japanese style room
			Actual: 1
			Prediction: 0
			Sentence: Room was in very nice condition and large I reserved a 6 person room for one of me
			Actual: 0
			Prediction: 1
			Sentence: Dinning room closed
			Actual: 0
			Prediction: 1
			Sentence: Room 26
			Actual: 0
			Prediction: 1
			Sentence: The room was small but I wasn t there to hang out in the room
			Actual: 1
			Prediction: 0
			Sentence: My only complaint was with the thin walls I could hear someone snoring in the next room which drives me insane
			Actual: 1
			Prediction: 0
			Sentence: very small bed and room
			Actual: 0
			Prediction: 1
			Sentence: Only good is window view to see harbor but other hotel has the same view
			Actual: 0
			Prediction: 1
			Sentence: Two separate rooms and both rooms where first floor with unbearable noise from above
			Actual: 0
			Prediction: 1
			Sentence: There was wifi in the rooms
			Actual: 1
			Prediction: 0
			Sentence: Great price when money is tight but depending on the room you get sometimes it would be better to sleep in your vehicle close to a 24hr bathroom
			Actual: 0
			Prediction: 1
			Sentence: The clerk cancelled our room and we are waiting for refund
			Actual: 0
			Prediction: 1
			Sentence: Relocated to Day s Inn and never slept better
			Actual: 0
			Prediction: 1
			Sentence: Room lights were like 30 watt
			Actual: 0
			Prediction: 1
			Sentence: Stay away
			Actual: 0
			Prediction: 1
			Sentence: Had to take an Uber to go Downtown the room smelled like mothballs but the price was reasonable and quiet environment
			Actual: 1
			Prediction: 0
			Sentence: My stay was ok the room was spacious enough
			Actual: 0
			Prediction: 1
			Sentence: Breakfast not available ans free coffee is available in reception but not in your room
			Actual: 1
			Prediction: 0
			Sentence: We had to switch rooms because of plumbing malfunctions but the staff was extremely accommodating and the room we ended up in was lovely
			Actual: 1
			Prediction: 0
			Sentence: Hotel staff was nice and helpful but room was run down
			Actual: 0
			Prediction: 1
			Sentence: And shower water smelt like sewage
			Actual: 0
			Prediction: 1
			Sentence: Great location but rooms are pretty spartan no shampoo
			Actual: 0
			Prediction: 1
			Sentence: suppose to have queen size bed room had only a full size bed
			Actual: 0
			Prediction: 1
			Sentence: But nothing could take away the beauty
			Actual: 1
			Prediction: 0
			Sentence: What I liked the best were the free breakfasts the 5 daily credit if you didn t need the room cleaned on a daily basis
			Actual: 1
			Prediction: 0
			Sentence: Unfortunately they apparently have a second bar which was right below our room
			Actual: 0
			Prediction: 1
			Sentence: I would stay here again but will request a room on the other side of the hotel
			Actual: 1
			Prediction: 0
			Sentence: Small rooms but that fine
			Actual: 1
			Prediction: 0
			Sentence: No hair dryer in the bathroom but front desk happily gave me one
			Actual: 1
			Prediction: 0
			Sentence: Shower had Power
			Actual: 1
			Prediction: 0
			Sentence: Upon request we were provided a floor fan which helped with air circulation
			Actual: 1
			Prediction: 0
			Sentence: Okay stay however could be improved by providing bathroom supplies
			Actual: 1
			Prediction: 0
			Sentence: There was a lovely skylight in the bathroom
			Actual: 1
			Prediction: 0
			Sentence: Clean room near the beach and dirt cheap
			Actual: 0
			Prediction: 1
			Sentence: Room was shabby and un inviting
			Actual: 0
			Prediction: 1
			Sentence: The rooms were spacious and I loved that there was no carpet
			Actual: 1
			Prediction: 0
			Sentence: The rooms are nice and updated but the carpeting definitely needs replacing
			Actual: 0
			Prediction: 1
			Sentence: Definitely thumbs up had the best 4th of July the resort includes park tickets which is a huge help we will definitely do this again can t wait to come back
			Actual: 1
			Prediction: 0
			Sentence: Hotel was a bit dated and still and now non smoking rooms once smoking still smell
			Actual: 0
			Prediction: 1
			Sentence: It s also a bit dark in the rooms but this place is really cool
			Actual: 1
			Prediction: 0
			Sentence: CLEANING OF THE ROOM WAS HIT AND MISS
			Actual: 0
			Prediction: 1
			Sentence: Felt like a dorm room
			Actual: 0
			Prediction: 1
			Sentence: It is convenient for me as I am a graduate student in Rutgers and my family lives two hours away from the university
			Actual: 0
			Prediction: 1
			Sentence: The staff was nice the lobby was large and pleasant and the breakfast was good but the room was very old and smelly
			Actual: 0
			Prediction: 1
			Sentence: Are the rooms a bit on the musty side
			Actual: 0
			Prediction: 1
			Sentence: Basic room but all the necessary needs including free wi fi
			Actual: 1
			Prediction: 0
			Sentence: Room wasn t clean when I reached
			Actual: 0
			Prediction: 1
			Sentence: Delay in check in manager denied to check in then after sometime he checkin but the room quality was very bad and in the hotel there is only 2 staff members 1 is manager and other waiter and no else was there in the hotel and breakfast you cannot have your choice of breakfast and the taste of breakfast is very bad and and tea is of full of water almost with no sugar i suggest everyone who is planning to visit hotel please check room before checkin and in my recommendation please if you pay genuine then go for genuine only
			Actual: 0
			Prediction: 1
			Sentence: costly room and double bed was very small and with terrible sound full night
			Actual: 0
			Prediction: 1
			Sentence: Windows are simple wooden frame windows so at night the noise is various and enormous
			Actual: 1
			Prediction: 0
			Sentence: it was awesome stay in the room facilities properly
			Actual: 1
			Prediction: 0
			Sentence: Microwave oven can be added
			Actual: 1
			Prediction: 0
			Sentence: Small improvements in room for better customer experience
			Actual: 0
			Prediction: 1
			Sentence: The rooms information at booking was different then the actual rooms most rooms are tiny if anyone else booking take a screenshot of room info and claim the same during checkin
			Actual: 0
			Prediction: 1
			Sentence: Lobby was grand but rooms lack cleanliness
			Actual: 0
			Prediction: 1
			Sentence: The room show on the pictures and the room that we got was completely different
			Actual: 0
			Prediction: 1
			Sentence: I booked a room here through Expedia for myself and an Indian friend
			Actual: 0
			Prediction: 1
			Sentence: Frankly speaking the hotel staff were better than the room
			Actual: 0
			Prediction: 1
			Sentence: TV and phone were also available
			Actual: 1
			Prediction: 0
			Sentence: But the room was literally falling apart
			Actual: 0
			Prediction: 1
			Sentence: Nice place if you just need a place to sleep conveniently located
			Actual: 1
			Prediction: 0
			Sentence: Room is a bit dirty
			Actual: 0
			Prediction: 1
			Sentence: Room clean but worn
			Actual: 0
			Prediction: 1
			Sentence: I haven t slept like a baby in a long time
			Actual: 1
			Prediction: 0
			Sentence: Only complaint is my iron was leaking water so I had to iron with no steam
			Actual: 1
			Prediction: 0
			Sentence: the room was amaizing
			Actual: 0
			Prediction: 1
			Sentence: The room was small and housekeeping was nonexistent
			Actual: 0
			Prediction: 1
			Sentence: I parked my car just in front of my room super easy for me to load and unload my stuffs
			Actual: 1
			Prediction: 0
			Sentence: Unique property comprised of 5 historic homes combined to make over 40 charming and one of a kind guest rooms
			Actual: 1
			Prediction: 0
			Sentence: There are interesting things to see everywhere you look from the lobby to rooms to rooftop terrace to courtyard
			Actual: 1
			Prediction: 0
			Sentence: Unique period hotel a block from Bourbon St we had a balcony to sit on and watch the passing parade
			Actual: 1
			Prediction: 0
			Sentence: We booked a balcony room
			Actual: 0
			Prediction: 1
			Sentence: But the hotel made sure we had got the room I had booked
			Actual: 1
			Prediction: 0
			Sentence: Only about 6 rooms so did feel boutique
			Actual: 1
			Prediction: 0
			Sentence: Some features in our suite weren t quite on the mark lack of a top sheet on the bed mini bar not fully stocked large bathroom was cold but warmed up nicely with requested portable heater
			Actual: 0
			Prediction: 1
			Sentence: Room was a bit dated but plenty had of beds
			Actual: 1
			Prediction: 0
			Sentence: Motel has plenty of room in the unit we were in a block apart from the main area and parking was a little crampedl
			Actual: 1
			Prediction: 0
			Sentence: The room smelled a little but overall it suited our purpose
			Actual: 1
			Prediction: 0
			Sentence: Booked and paid for room online whilst on the road
			Actual: 0
			Prediction: 1
			Sentence: Although we arrived early we were allowed into our room as soon as it was cleaned
			Actual: 1
			Prediction: 0
			Sentence: The only downfall was that there is only 1 bathroom
			Actual: 1
			Prediction: 0
			Sentence: Telephone and internet and basic room facilities in working condition
			Actual: 0
			Prediction: 1
			Sentence: It must be for a deluxe room and not a Standard room which we got and which was much smaller
			Actual: 0
			Prediction: 1
			Sentence: Carpeting and drapes
			Actual: 0
			Prediction: 1
			Sentence: Slept the best here than we have at other hotels
			Actual: 1
			Prediction: 0
			Sentence: The air conditioner broke but they were able to fix it immediately which was great
			Actual: 1
			Prediction: 0
			Sentence: They have davines products in the rooms which is awesome
			Actual: 1
			Prediction: 0
			Sentence: My complaint is that I thought the corner room was like the picture shown on my confirmation
			Actual: 0
			Prediction: 1
			Sentence: Cons no coffee pot or microwave in the room mini bar in hotel room outrageously over priced but had some nice items
			Actual: 1
			Prediction: 0
			Sentence: We generally like to stay down in the Village away from the hustle and bustle of Time square
			Actual: 1
			Prediction: 0
			Sentence: While the room could have been cleaner the location and price were great
			Actual: 0
			Prediction: 1
			Sentence: The only complaint we had was there was not enough tea in our room
			Actual: 1
			Prediction: 0
			Sentence: I had a small problem with my first room but the staff had no problem accommodating me with another room
			Actual: 1
			Prediction: 0
			Sentence: Off the freeway but could not hear the traffic from my room
			Actual: 1
			Prediction: 0
			Sentence: No issues with hot water and shower
			Actual: 1
			Prediction: 0
			Sentence: Loved that we could park right outside our bungalow
			Actual: 1
			Prediction: 0
			Sentence: Too spread out walking from room to hotel activities really is not well thought out
			Actual: 0
			Prediction: 1
			Sentence: Beautiful resort with very poor beach access the beach is 3 4 miles away and must be reached by shuttle
			Actual: 0
			Prediction: 1
