sentence;cleanliness;food/drinks;location;room amenities;staff;other
Hopefully that will fix the situation.;-;-;-;-;-;-
If you don't want to stay in a building currently undergoing extreme renovations make sure the construction is complete before making your reservation.;-;-;-;-;-;-
We arrived at the hotel and thought it was closed.;-;-;-;-;-;-
It is totally under construction windows out scaffolding etc..;-;-;-;negative;-;-
This was not mentioned when the reservation was made however it was quiet and clean.;positive;-;-;-;-;-
Not the most comfortable bed.;-;-;-;-;-;-
The hotel was under construction no pardon our appearance signs or anything.;-;-;-;-;-;-
Windows were out of the building.. it was terrible.;-;-;-;negative;-;-
I would like to discuss some sort of refund;-;-;-;-;-;-
The room was OK.;-;-;-;negative;-;-
The Hotel is in a radical renovation process with construction work even in the loby.;-;-;-;-;-;-
So many things must be excused but the breakfast was lousy.;-;negative;-;-;-;-
There were toasters but no bread to be toasted no egs in any form raisin bran partly powdered.;-;negative;negative;negative;negative;-
Very strict hotel... beds were not comfortable couldn’t even look out the window because the outside of it was covered in blue paint.;-;-;-;negative;-;-
I don’t feel like this hotel was worth 140 a night not by a long shot.;-;-;-;-;-;-
Dated run-down.;-;-;-;-;-;-
Rooms in poor condition sparsely furnished with old worn furniture.;-;-;-;negative;-;-
Some healthy options at breakfast but nothing warm - much less hot.;-;negative;-;-;-;-
At one time the Landmark was a good hotel BUT it has fallen way behind.;-;-;-;-;-;-
Needs updating and better maintenance.;-;-;-;-;-;-
Ice machines do not work and are located on every other floor.;-;negative;negative;negative;negative;-
Housekeeping replaced the towels but not the soaps.;-;-;-;-;-;-
I know big item.;-;-;-;-;-;-
It was just ok nothing to rave about.;-;-;-;-;-;-
Oh I haven't seen a CATHODE RAY TUBE TV IN QUITE A WHILE.;-;-;-;negative;-;-
Good location staff was nice.;-;-;positive;-;positive;-
That's it.;-;-;-;-;-;-
Room smelled like smoke though the hotel is currently no smoking it had to have been at one time.;negative;-;-;negative;-;-
It's just a mess on many floors due to construction.;-;-;-;-;-;-
Bed was ok not the worst.;-;-;-;-;-;-
Would not stay here again.;-;-;-;-;-;-
It was run down no fridge in room no vending machines!;-;-;-;negative;-;-
Breakfast was way too early... ;-;-;-;-;-;-
Undergoing much needed renovations.;-;-;-;-;-;-
Lots of 'rules' that didnt exist the last time we stayed here.;-;-;-;-;-;-
Have to eat food in lobby.;-;negative;-;-;-;-
No visitors.;-;-;-;-;-;-
Damage deposit hold on credit card.;-;-;-;negative;-;-
Not what I was expecting - the bed was really uncomfortable and the elevators were several months past inspection.;-;-;-;-;-;-
They were able to accommodate us with an early check in though;-;-;-;-;-;-
Options for other hotels were limited so to avoid having to drive home after a concert at Meadowbrook I booked one night/2 double beds.;-;-;-;-;-;-
Both the beds and the pillows they provided were extremely uncomfortable.;-;-;-;-;-;-
No updates have been made to this location for at least 10-15 years.....very outdated peeling wallpaper in the bathroom.;-;-;negative;negative;-;-
If you stay here be sure to bring your own pillows and towels.;-;-;-;-;-;-
This hotel is decent not sparkling clean but ok!;negative;-;-;-;-;-
Have stayed in worse.;-;-;-;-;-;-
Hotel is very dingy needs upgrading but the room was not bad better than I expected after reading some other reviews.;-;-;-;negative;-;-
For one night it’s fine.;-;-;-;-;-;-
It is close to the bank of NH concerts about 3.5 miles.;-;-;-;-;-;-
Room wasn't ready for early check in.;-;-;-;positive;-;-
Then someone entered room after I had checked in because they didn't notify staff the room had been cleaned.;negative;-;-;negative;negative;-
Very unsettling.;-;-;-;-;-;-
Walls very thin could hear conversations in next room word for word.;-;-;-;negative;-;-
No coffee in room.;-;negative;-;negative;-;-
No frig microwave or iron.;-;-;-;negative;-;-
Room OK.;-;-;-;negative;-;-
Whole hotel needs updating;-;-;-;-;-;-
Was in town for the Nascar Race and found it to be a short ride to the stadium.;-;-;-;-;-;-
Everything was great with the room and hotel.;-;-;-;positive;-;-
Had a great stay and will revisit.;-;-;-;-;-;-
Great hotel.;-;-;-;-;-;-
Will return time and time again.;-;-;-;-;-;-
Beds were uncomfortable...;-;-;-;-;-;-
But other than that room view was amazing;-;-;-;positive;-;-
Nice hotel noisy neighbors  They kept us awake after 3am;-;-;-;-;-;-
Bad thing is no microwave.;-;-;-;negative;-;-
Even the 2 stars motel has one.;-;-;-;-;-;-
This was a lovely location with a nice sandy beach front lush green grounds and near to great eateries.;-;-;negative;-;-;-
Good breakfast room all included is a plus.;-;positive;-;positive;-;-
Sadly the maintenance needs a face lift.;-;-;-;-;-;-
Carpeting bathroom counters and room decor need upgrade.;-;-;-;negative;-;-
The pool was lovely and well maintained.;-;-;-;-;-;-
Nice to find indoor fascilities.;-;-;-;-;-;-
I think it will be lovely here even this winter.;-;-;-;-;-;-
The area we stayed in was good - The Inn.;-;-;negative;-;-;-
The main building had a creepy floor that reminded us of the Shining with dated hallways and dim lighting.;-;-;-;-;-;-
We were trying to find the game room but it was being renovated so it was closed.;-;-;-;negative;-;-
The pool  sauna and hot tub were great.;-;-;-;-;-;-
Breakfast was good- big selection.;-;positive;-;-;-;-
Room was big but the beds were uncomfortable wasn’t a pullout couch so had to pay for a cot which no one informed me prior to coming and the room was booked for 5 people.;-;-;-;negative;-;-
The place was very nice but a little bit pricey!;-;-;-;-;-;-
Off season not a lot to do!;-;-;-;-;-;-
Front desk staff was fantastic and very helpful!;-;-;-;-;positive;-
Pool was great!;-;-;-;-;-;-
Could use a full time restaurant and a tea and coffee bar all day!;-;positive;-;-;-;-
Wasn’t convenient my room was a cross of street from the pool and the gym for the price I was expecting more.;-;-;-;negative;-;-
The beach is lovely here the pool and hot tub are great.;-;-;-;-;-;-
The continental breakfast was nice.;-;positive;-;-;-;-
Aside from being evacuated from the building at 6AM due to a faulty smoke detector or some other sort of false alarm it was a nice stay.;-;negative;negative;negative;negative;-
The room was very nice and roomy.;-;-;-;positive;-;-
The beds were super comfortable.;-;-;-;-;-;-
The pool lobby/bar and hot tub were awesome.;-;positive;-;-;-;-
I would definitely stay here again.;-;-;-;-;-;-
Great location.;-;-;positive;-;-;-
The first room was not ready so we were given a up grade closer to the water.;-;-;-;negative;-;-
The King size bed was very squeaky and lumpy.;-;-;-;-;-;-
Close to beach...nice place..bar on water...beautiful view...bed a little hard..;-;positive;-;-;-;-
beautiful beach and out door bar.;-;negative;-;-;-;-
very relaxing trip  will go again;-;-;-;-;-;-
Love the beach access and outside bar and restaurant.;-;-;-;-;-;-
Great pool with hot tub and sauna.;-;-;-;-;-;-
Very generous and selective complimentary breakfast.;-;positive;-;-;-;-
Room was nice and clean.;positive;-;-;positive;-;-
Beds comfortable.;-;-;-;-;-;-
Tv/cable lots of channels to choose from.;-;-;-;positive;-;-
Close to Gunstock Mountain which was the reason for our stay.;-;-;-;-;-;-
Easy access plenty of parking nice pool nice Beach Bar had a great time.;-;positive;-;-;-;-
Have stayed here before and will again.;-;-;-;-;-;-
Hotel was ok. Carpets stained runned down looking.;negative;-;-;negative;-;-
Stained sheets staff didnt care;negative;-;-;-;negative;-
Nice location!!!;-;-;positive;-;-;-
Easy and Convenient!!;-;-;-;-;-;-
Comfortable!;-;-;-;-;-;-
older cottages but they are clean and reasonably priced.;positive;-;-;-;-;-
the owner is very nice and accommodating;-;-;-;-;-;-
It was exactly what we thought it would be like...a night of camping just not in a tent.;-;-;-;-;-;-
Very enjoyable!;-;-;-;-;-;-
very happy with communication and special need to park boat trailer with access to plug in battery charger.;-;-;positive;positive;positive;-
We had unexpected delay in showing upa and they were very helpful getting us set up and checked in.;-;-;-;-;-;-
Cottage was clean.;positive;-;-;-;-;-
No heat and it was a cold weekend.;-;-;-;-;-;-
Coffee pot had old coffee and mold in the coffee basket.;negative;negative;-;-;-;-
No one came in after first night to see message about coffee pot so we were unable to have coffee at all.;-;negative;-;-;-;-
Very noisy location.;-;-;negative;-;-;-
Would never go in the summer during busy season.;-;-;-;-;-;-
Wifi was unavailable!!!!!!;-;-;-;-;-;-
Lousy connection;-;-;-;-;-;-
I enjoyed the service of the staff as well as the room itself.;-;-;-;positive;positive;-
Excellent!;-;-;-;-;-;-
Could'n't be happier.;-;-;-;-;-;-
great stay!;-;-;-;-;-;-
Perfect for a one night stay.;-;-;-;-;-;-
We were in for the Highland Games  Festival in September.;-;-;-;-;-;-
I am familiar with Laconia and always wanted to stay close to the Weird Beach  Boardwalk.;-;-;-;-;-;-
Very cute 50’s feel cottage beds were a bit uncomfortable but for one night it was ok.;-;-;-;-;-;-
Talked to person thru microphone told us key under mat.;-;-;-;-;-;-
Room smelled musty;negative;-;-;negative;-;-
The room is much bigger and nicer than I expected it to be.;-;-;-;positive;-;-
Check in was a breeze.;-;-;-;-;-;-
My only complaint is that there is what looks like dog fur on both pillow cases and that makes me wonder if they were even changed/cleaned between guests.;positive;-;-;-;-;-
Otherwise the room appears very clean.;positive;-;-;positive;-;-
There were bugs in our room and staff were rude and not helpful;-;-;-;negative;negative;-
The floor of the cottage was not level.;-;-;-;-;-;-
Futon in the living room was way too low to sit and get up.;-;-;-;negative;-;-
Staff was rude not helpful.;-;-;-;-;negative;-
we found a cockroach in our room and I brought it to the manager Heather and she confirmed it was a roach and said we must have brought it to the hotel or it came from outside.;-;-;-;negative;negative;-
Told me we were a pain in the ass.;-;-;-;-;-;-
Would not recommend.;-;-;-;-;-;-
Saw a review that there was roaches should had listened.;-;-;-;-;-;-
The location is excellent which is what you're really paying for.;-;-;positive;-;-;-
The staff were extremely friendly and check in and out was a breeze.;-;-;-;-;positive;-
Our cottage smelled terrible - like old cigarette smoke and a mix of mold/mildew.;negative;-;-;-;-;-
The bathroom is small and the place is run down.;-;-;-;negative;-;-
I thought the bed was comfortable my husband disagreed.;-;-;-;-;-;-
It wasn't the nicest place but I would stay again.;-;-;-;-;-;-
I loved the screened in porch.;-;-;-;-;-;-
Beds were very lumpy and hard room is aged and needs updating.;-;-;-;negative;-;-
Way overpriced for the conditions;-;-;-;-;-;-
My excellent adventure took me out onto the lake for hours leaving little time for anything else.;-;-;-;-;-;-
This property was exactly what we were looking for.;-;-;-;-;-;-
Located close to everything open that time of year the price was competitive.;-;-;-;-;-;-
Monica the manager is amazing.;-;-;-;-;positive;-
we required help unloading and loading all of our suitcases etc.;-;-;-;-;-;-
the staff was a wonderful smilling help assisting us.;-;-;-;-;positive;-
They could not dom enough to help us.;-;-;-;-;-;-
Very friendly staff at the reception desk and the breakfast was first rate.;-;positive;-;-;positive;-
Would stay there again.;-;-;-;-;-;-
Early arrival was cheerfully accomodated.;-;-;-;-;-;-
Staff very pleasant and professional.;-;-;-;-;positive;-
No restaurants near the hotel.;-;-;negative;-;-;-
Reserved room with a shower was a bathtub room.;-;-;-;negative;-;-
Hotel staff were incredibly nice.;-;-;-;-;positive;-
Everything was immaculate.;-;-;-;-;-;-
Would stay here again.;-;-;-;-;-;-
It was the worse                                 .;-;-;-;-;-;-
Outstanding location good places to eat close to family and friends.;-;-;positive;-;-;-
Great experience.;-;-;-;-;-;-
Beds were delightfully comfortable!;-;-;-;-;-;-
We arrived late in the evening but check in was very quick.;-;-;-;-;-;-
The young lady at the counter was courteous informative and speedy which was great because we were tired.;-;-;-;-;positive;-
The room was very comfortable and clean.;positive;-;-;positive;-;-
The complimentary breakfast was quite good and check out was a breeze.;-;positive;-;-;-;-
Multiple breakfast options were nice.;-;positive;-;-;-;-
Room was clean and easily cooled down.;positive;-;-;positive;-;-
Staff were friendly and helpful.;-;-;-;-;positive;-
Appreciated that smoking was allowed nearby - outside of building.;-;-;positive;-;-;-
Overall a pretty good place.;-;-;-;-;-;-
Staff were really friendly and helpful.;-;-;-;-;positive;-
I had to cancel and kind of medical and the hotel would give me back my money until they realize I’ve booked thru to you and they could not I was never informed of that;-;-;-;-;-;-
The hotel worked for us but it had a 'worn' feel.;-;-;-;-;-;-
There were 'pardon our dust' signs all over but saw no evidence of any renewals.;-;-;-;-;-;-
Our room had water damage on the ceiling.;-;-;-;negative;-;-
I was not able to get the wheelchair under the ADA room sink in the bathroom or see in the mirror.;-;-;-;negative;-;-
The sheets were never changed I know because there was lipstick or some kind of makeup on the sheets the whole time we were there;-;-;-;-;-;-
We selected this hotel because of it's proximity to The Villages and the low cost.;-;-;-;-;-;-
It's a nice basic hotel and was typical of any Hampton Inn you would see almost anywhere.;-;-;-;-;-;-
Over the course of eight days we stayed at five different hotels.;-;-;-;-;-;-
The Hampton Inn provided the best comfort for the best price.;-;-;-;-;-;-
The didn't have extra fees for the roll away bed the breakfast was delicious and the room was very modern and clean.;positive;positive;-;positive;-;-
Everything was nice except no one serviced the room... no trash removal no clean towels nothing.;negative;-;-;negative;negative;-
From arrival to departure we only saw smiles on the faces of two members of staff.;-;-;-;-;positive;-
That summed up our stay here.;-;-;-;-;-;-
This hotel is a series of boxes with beds put together to make money.;-;-;-;-;-;-
No one on the staff seemed to have a desire to offer hospitality.;-;-;-;-;negative;-
Would avoid this hotel and this brand in the future.;-;-;-;-;-;-
It was the most relaxing stay..Quiet and comfortable.;-;-;-;-;-;-
Staff very friendly.;-;-;-;-;positive;-
Nice village surrounding with several stores and restaurants to choose from....I'd differently come back again...;-;-;-;-;-;-
Hampton Inns provide great value for the money spent.;-;-;-;-;-;-
This particular Hampton Inn was no exception.;-;-;-;-;-;-
This was one of the cleanest i've ever stayed in.;positive;-;-;-;-;-
The staff was also exceptionally friendly and welcoming.;-;-;-;-;positive;-
I would definitely stay here again when visiting family.;-;-;-;-;-;-
It was a very nice hotel with attentive staff and good access to the area.;-;-;positive;-;positive;-
Arrived early and our room was ready!;-;-;-;positive;-;-
Very convient to The Villages were we were competing in an RC Laser sailboat regatta.;-;-;-;-;-;-
Very nice free breakfast with tasty food.;-;positive;-;-;-;-
Nice boutique hotel for the price!;-;-;-;-;-;-
The entire staff was very friendly and efficient!;-;-;-;-;positive;-
Good value here!! !;-;-;-;-;-;-
The bath tubs were the biggest I have ever seen!;-;positive;positive;positive;positive;-
The staff was very friendly and accommodating and even delivered breakfast to your door as your wake up call.;-;positive;-;-;positive;-
The location is excellent with plenty of interesting venues with in walking distance.;-;-;positive;-;-;-
Terrific Hotel wish we could have stayed longer.;-;-;-;-;-;-
Very friendly and accommodating.;-;-;-;-;positive;-
A great hotel with the nicest staff.;-;-;-;-;positive;-
We will definitely stay here again!;-;-;-;-;-;-
Nice place within walking distance from restaurants and cute bars.;-;positive;positive;-;-;-
Staff were great and very helpful to direct and give advice.;-;-;-;-;positive;-
The cake and warm cookies in the common area were truly a bonus.;-;-;positive;-;-;-
Absolutely perfect Highly recommend;-;-;-;-;-;-
Great boutique hotel in the heart of Lafayette.;-;-;-;-;-;-
Service is top notch.;-;-;-;-;positive;-
Fresh cookies and bananas available at all times.;-;-;-;-;-;-
Room is spacious.;-;-;-;positive;-;-
Bath tub is very large.;-;-;-;-;-;-
Only negatives: a/c was quite noisy in our room and pillows were small and uncomfortable.;-;-;-;positive;-;-
Overall a very nice experience for myself and my wife.;-;-;-;-;-;-
The hotel was great!;-;-;-;-;-;-
exceeded my expectations.;-;-;-;-;-;-
The free breakfast didn't have any choices that appealed to me because I don't like croissants.;-;negative;-;-;-;-
But it was FREE breakfast so no complaints from me.;-;positive;-;-;-;-
I didn't ask if there were alternatives -- they might have been able to accommodate me if I asked.;-;-;-;-;-;-
The hotel was super clean smelled good and the staff was very welcoming and friendly!;positive;-;-;-;positive;-
Would definitely recommend staying here;-;-;-;-;-;-
The property is immaculate the staff are wonderful it’s in a great location.;-;-;positive;-;positive;-
This boutique hotel has everything you could want and the staff can’t be more helpful.;-;-;-;-;positive;-
A for everything.;-;-;-;-;-;-
Even to the cake and coffee left out for self help during the day.;-;positive;-;-;-;-
This hotel is a gem in downtown Lafayette.;-;-;-;-;-;-
Impeccably clean large rooms everything nice new and comfortable.;positive;-;-;positive;-;-
Great service and amenities.;-;-;-;-;positive;-
Great location.;-;-;positive;-;-;-
Will definitely be coming back.;-;-;-;-;-;-
Always a nice place to stay in a great area not the same old cookie cutter franchise hotel.;-;-;negative;-;-;-
This property  horrid.;-;-;-;-;-;-
Stayed 7 days  6 of them a beer bottle full of urine sat in the breezeway.;-;negative;-;-;-;-
Staff refused to have it cleaned up despite many calls to front desk.;negative;-;-;-;negative;-
Pictures are quite deceptive.;-;-;-;-;-;-
They ended up charging me 54.;-;-;-;-;-;-
Ucks when they said 45 and i. Didnt care ckr that;-;-;-;-;-;-
It was horrible and wanted a refund but couldn't get one the rooms were a mess had junk and trash and smelled terrible I'll never ever stay there again they let that place to down hill;negative;-;-;negative;-;-
Well I reserved a room for last Saturday and I checked out Monday the TV only have one channel there was no microwave the refrigerator was barely cold and there was a bar sticking out from under the bed and the carpet look like they just patched it together I wouldn't recommend anyone staying at this hotel;-;-;-;negative;-;-
Very clean nice thoughtful and generous staff anytime maintenance and friendly owners;positive;-;-;-;positive;-
Nice;-;-;-;-;-;-
Great;-;-;-;-;-;-
Clean friendly nice staff on-time check in on time check out safe clean quiet environment;positive;-;-;-;positive;-
For the price it was well worth it.;-;-;-;-;-;-
Outdated but clean and the location was perfect for our staff.;positive;-;positive;-;positive;-
Roaches in bathroom when I turned the light on.;-;-;-;negative;-;-
Pulled back sheets in bed and roach ran off of pillow under mattress.;-;-;-;-;-;-
Lifted corner of mattress and found nest of at least a dozen roaches under corner of mattress.;-;-;-;-;-;-
They initially refused today give me a refund until I had the clerk call them owner am tell them I have a video of them roaches that's I will send today there state dept.;-;-;-;-;-;-
of health.;-;-;-;-;-;-
Good cant complain for the price but would recommend to remodel the rooms;-;-;-;positive;-;-
It was a cool place to relax but for business I'll probably stick to hotels.;-;-;-;-;-;-
The clawfoot tub was beautiful and probably relaxing but rough for someone accustomed to a quick morning shower.;-;-;-;-;-;-
I have stayed at Bogobiri before and so was disappointed at how run down the place has become.;-;-;-;-;-;-
A lick of paint and re-organisation of the furniture new bedding etc would make such a difference.;-;-;-;-;-;-
There were prolonged power outages during my stay and breakfast was sparse no butter or jam for my toast.;-;negative;-;-;-;-
It is a shame as this is a unique place which can have a lovely atmosphere.;-;-;-;-;-;-
Beautifully decorated rooms...great food courteous staff.;-;positive;-;positive;positive;-
Within walking distance to local eateries as well.;-;-;positive;-;-;-
Bogobiri is a comfortable guesthouse with artistic decoration in the room.;-;-;-;positive;-;-
If you are looking for a private place like home this could be your option.;-;-;-;-;-;-
But definitely not for people who are looking for a nice hotel room and service experience.;-;-;-;negative;negative;-
The staff are very helpful and provide prompt service.;-;-;-;-;positive;-
What I did not like is the full charge for having breakfast in the room when my booking included complimentary breakfast.;-;positive;-;positive;-;-
Need more food for expats mainly Nigerian food.;-;positive;-;-;-;-
Service quality must improve;-;-;-;-;positive;-
Awesome location awesome staff rooms r Roomy would return over and over nxt time I will try the executive room;-;-;positive;positive;positive;-
Breakfast was a let down limited choice and some of the food was dry.;-;negative;-;-;-;-
The rooms are ok but bathrooms could do with a renovation.;-;-;-;negative;-;-
